source_term,canonical_system,skill_id,layer,confidence
检定,基础判定系统,CheckLogic,01_规则执行层,0.85
判定,基础判定系统,CheckLogic,01_规则执行层,0.85
命中,基础判定系统,CheckLogic,01_规则执行层,0.85
抗性,基础判定系统,CheckLogic,01_规则执行层,0.85
潜行,基础判定系统,CheckLogic,01_规则执行层,0.85
搜索,基础判定系统,CheckLogic,01_规则执行层,0.85
交涉,基础判定系统,CheckLogic,01_规则执行层,0.85
存活,基础判定系统,CheckLogic,01_规则执行层,0.85
Elden Ring 中未显式存在掷骰，需TRPG化,基础判定系统,CheckLogic,01_规则执行层,0.7
架势压制,对抗系统,ContestLogic,01_规则执行层,0.85
隐匿与发现,对抗系统,ContestLogic,01_规则执行层,0.85
推拉,对抗系统,ContestLogic,01_规则执行层,0.85
抓取,对抗系统,ContestLogic,01_规则执行层,0.85
反制,对抗系统,ContestLogic,01_规则执行层,0.85
抗性积累,对抗系统,ContestLogic,01_规则执行层,0.85
NPC态度拉扯,对抗系统,ContestLogic,01_规则执行层,0.85
轻攻击,行动经济系统,ActionEconomyLogic,01_规则执行层,0.85
重攻击,行动经济系统,ActionEconomyLogic,01_规则执行层,0.85
战技,行动经济系统,ActionEconomyLogic,01_规则执行层,0.85
施法,行动经济系统,ActionEconomyLogic,01_规则执行层,0.85
翻滚,行动经济系统,ActionEconomyLogic,01_规则执行层,0.85
防御,行动经济系统,ActionEconomyLogic,01_规则执行层,0.85
冲刺,行动经济系统,ActionEconomyLogic,01_规则执行层,0.85
骑乘,行动经济系统,ActionEconomyLogic,01_规则执行层,0.85
召唤,行动经济系统,ActionEconomyLogic,01_规则执行层,0.85
使用道具,行动经济系统,ActionEconomyLogic,01_规则执行层,0.85
普通攻击,攻击与防御系统,AttackDefenseLogic,01_规则执行层,0.85
重攻击,攻击与防御系统,AttackDefenseLogic,01_规则执行层,0.85
跳劈,攻击与防御系统,AttackDefenseLogic,01_规则执行层,0.85
战技,攻击与防御系统,AttackDefenseLogic,01_规则执行层,0.85
防御,攻击与防御系统,AttackDefenseLogic,01_规则执行层,0.85
翻滚,攻击与防御系统,AttackDefenseLogic,01_规则执行层,0.85
盾反,攻击与防御系统,AttackDefenseLogic,01_规则执行层,0.85
架势,攻击与防御系统,AttackDefenseLogic,01_规则执行层,0.85
韧性,攻击与防御系统,AttackDefenseLogic,01_规则执行层,0.85
处决,攻击与防御系统,AttackDefenseLogic,01_规则执行层,0.85
HP,伤害与治疗系统,DamageHealingLogic,01_规则执行层,0.85
红露滴圣杯瓶,伤害与治疗系统,DamageHealingLogic,01_规则执行层,0.85
治疗祷告,伤害与治疗系统,DamageHealingLogic,01_规则执行层,0.85
物理减伤,伤害与治疗系统,DamageHealingLogic,01_规则执行层,0.85
属性减伤,伤害与治疗系统,DamageHealingLogic,01_规则执行层,0.85
出血,伤害与治疗系统,DamageHealingLogic,01_规则执行层,0.85
冻伤,伤害与治疗系统,DamageHealingLogic,01_规则执行层,0.85
猩红腐败,伤害与治疗系统,DamageHealingLogic,01_规则执行层,0.85
死亡,伤害与治疗系统,DamageHealingLogic,01_规则执行层,0.85
中毒,状态系统,StatusLogic,01_规则执行层,0.85
猩红腐败,状态系统,StatusLogic,01_规则执行层,0.85
出血,状态系统,StatusLogic,01_规则执行层,0.85
冻伤,状态系统,StatusLogic,01_规则执行层,0.85
催眠,状态系统,StatusLogic,01_规则执行层,0.85
发狂,状态系统,StatusLogic,01_规则执行层,0.85
死亡疫病,状态系统,StatusLogic,01_规则执行层,0.85
架势崩解,状态系统,StatusLogic,01_规则执行层,0.85
增益,状态系统,StatusLogic,01_规则执行层,0.85
减益,状态系统,StatusLogic,01_规则执行层,0.85
HP,资源消耗系统,ResourceLogic,01_规则执行层,0.85
FP,资源消耗系统,ResourceLogic,01_规则执行层,0.85
精力,资源消耗系统,ResourceLogic,01_规则执行层,0.85
卢恩,资源消耗系统,ResourceLogic,01_规则执行层,0.85
圣杯瓶,资源消耗系统,ResourceLogic,01_规则执行层,0.85
道具数量,资源消耗系统,ResourceLogic,01_规则执行层,0.85
负重,资源消耗系统,ResourceLogic,01_规则执行层,0.85
记忆格,资源消耗系统,ResourceLogic,01_规则执行层,0.85
召唤限制,资源消耗系统,ResourceLogic,01_规则执行层,0.85
赐福,休息与恢复系统,RestRecoveryLogic,01_规则执行层,0.85
篝火,休息与恢复系统,RestRecoveryLogic,01_规则执行层,0.85
休息,休息与恢复系统,RestRecoveryLogic,01_规则执行层,0.85
升级,休息与恢复系统,RestRecoveryLogic,01_规则执行层,0.85
补瓶,休息与恢复系统,RestRecoveryLogic,01_规则执行层,0.85
敌人刷新,休息与恢复系统,RestRecoveryLogic,01_规则执行层,0.85
传送,休息与恢复系统,RestRecoveryLogic,01_规则执行层,0.85
记忆法术,休息与恢复系统,RestRecoveryLogic,01_规则执行层,0.85
整理圣杯瓶,休息与恢复系统,RestRecoveryLogic,01_规则执行层,0.85
开放世界,探索与旅行系统,ExplorationTravelLogic,01_规则执行层,0.85
地图碎片,探索与旅行系统,ExplorationTravelLogic,01_规则执行层,0.85
赐福指引,探索与旅行系统,ExplorationTravelLogic,01_规则执行层,0.85
地下墓地,探索与旅行系统,ExplorationTravelLogic,01_规则执行层,0.85
矿洞,探索与旅行系统,ExplorationTravelLogic,01_规则执行层,0.85
洞窟,探索与旅行系统,ExplorationTravelLogic,01_规则执行层,0.85
灵马,探索与旅行系统,ExplorationTravelLogic,01_规则执行层,0.85
灵魂气流,探索与旅行系统,ExplorationTravelLogic,01_规则执行层,0.85
雾门,探索与旅行系统,ExplorationTravelLogic,01_规则执行层,0.85
隐藏墙,探索与旅行系统,ExplorationTravelLogic,01_规则执行层,0.85
NPC对话,社交互动系统,SocialInteractionLogic,01_规则执行层,0.85
任务线,社交互动系统,SocialInteractionLogic,01_规则执行层,0.85
商人,社交互动系统,SocialInteractionLogic,01_规则执行层,0.85
导师,社交互动系统,SocialInteractionLogic,01_规则执行层,0.85
誓约,社交互动系统,SocialInteractionLogic,01_规则执行层,0.85
背叛,社交互动系统,SocialInteractionLogic,01_规则执行层,0.85
敌对,社交互动系统,SocialInteractionLogic,01_规则执行层,0.85
结局选择,社交互动系统,SocialInteractionLogic,01_规则执行层,0.85
魔法,魔法、技能与特殊能力执行系统,AbilityExecutionLogic,01_规则执行层,0.85
祷告,魔法、技能与特殊能力执行系统,AbilityExecutionLogic,01_规则执行层,0.85
战灰,魔法、技能与特殊能力执行系统,AbilityExecutionLogic,01_规则执行层,0.85
战技,魔法、技能与特殊能力执行系统,AbilityExecutionLogic,01_规则执行层,0.85
骨灰,魔法、技能与特殊能力执行系统,AbilityExecutionLogic,01_规则执行层,0.85
大卢恩,魔法、技能与特殊能力执行系统,AbilityExecutionLogic,01_规则执行层,0.85
护符效果,魔法、技能与特殊能力执行系统,AbilityExecutionLogic,01_规则执行层,0.85
Boss能力,魔法、技能与特殊能力执行系统,AbilityExecutionLogic,01_规则执行层,0.85
例外,规则优先级与例外系统,RulePriorityLogic,01_规则执行层,0.85
特殊规则,规则优先级与例外系统,RulePriorityLogic,01_规则执行层,0.85
Boss机制,规则优先级与例外系统,RulePriorityLogic,01_规则执行层,0.85
场景限制,规则优先级与例外系统,RulePriorityLogic,01_规则执行层,0.85
剧情覆盖,规则优先级与例外系统,RulePriorityLogic,01_规则执行层,0.85
Wiki核对,规则优先级与例外系统,RulePriorityLogic,01_规则执行层,0.85
GM裁定,规则优先级与例外系统,RulePriorityLogic,01_规则执行层,0.85
生命力,基础属性系统,AttributeSystem,02_角色构建层,0.85
集中力,基础属性系统,AttributeSystem,02_角色构建层,0.85
耐力,基础属性系统,AttributeSystem,02_角色构建层,0.85
力气,基础属性系统,AttributeSystem,02_角色构建层,0.85
灵巧,基础属性系统,AttributeSystem,02_角色构建层,0.85
智力,基础属性系统,AttributeSystem,02_角色构建层,0.85
信仰,基础属性系统,AttributeSystem,02_角色构建层,0.85
感应,基础属性系统,AttributeSystem,02_角色构建层,0.85
HP,基础属性系统,AttributeSystem,02_角色构建层,0.85
FP,基础属性系统,AttributeSystem,02_角色构建层,0.85
精力,基础属性系统,AttributeSystem,02_角色构建层,0.85
褪色者,种族、血统或物种系统,SpeciesLineageSystem,02_角色构建层,0.85
半神,种族、血统或物种系统,SpeciesLineageSystem,02_角色构建层,0.85
神人,种族、血统或物种系统,SpeciesLineageSystem,02_角色构建层,0.85
黄金一族,种族、血统或物种系统,SpeciesLineageSystem,02_角色构建层,0.85
白金之子,种族、血统或物种系统,SpeciesLineageSystem,02_角色构建层,0.85
混种,种族、血统或物种系统,SpeciesLineageSystem,02_角色构建层,0.85
恶兆,种族、血统或物种系统,SpeciesLineageSystem,02_角色构建层,0.85
龙,种族、血统或物种系统,SpeciesLineageSystem,02_角色构建层,0.85
祖灵,种族、血统或物种系统,SpeciesLineageSystem,02_角色构建层,0.85
壶人,种族、血统或物种系统,SpeciesLineageSystem,02_角色构建层,0.85
稀人,种族、血统或物种系统,SpeciesLineageSystem,02_角色构建层,0.85
流浪骑士,职业系统,ClassSystem,02_角色构建层,0.85
剑士,职业系统,ClassSystem,02_角色构建层,0.85
勇者,职业系统,ClassSystem,02_角色构建层,0.85
盗贼,职业系统,ClassSystem,02_角色构建层,0.85
观星者,职业系统,ClassSystem,02_角色构建层,0.85
预言家,职业系统,ClassSystem,02_角色构建层,0.85
武士,职业系统,ClassSystem,02_角色构建层,0.85
囚犯,职业系统,ClassSystem,02_角色构建层,0.85
密使,职业系统,ClassSystem,02_角色构建层,0.85
一无所有者,职业系统,ClassSystem,02_角色构建层,0.85
卡利亚骑士,子职业、专精或流派系统,SubclassSpecializationSystem,02_角色构建层,0.85
辉石魔法师,子职业、专精或流派系统,SubclassSpecializationSystem,02_角色构建层,0.85
龙飨,子职业、专精或流派系统,SubclassSpecializationSystem,02_角色构建层,0.85
黄金律法,子职业、专精或流派系统,SubclassSpecializationSystem,02_角色构建层,0.85
黑焰,子职业、专精或流派系统,SubclassSpecializationSystem,02_角色构建层,0.85
癫火,子职业、专精或流派系统,SubclassSpecializationSystem,02_角色构建层,0.85
出血流,子职业、专精或流派系统,SubclassSpecializationSystem,02_角色构建层,0.85
冰霜流,子职业、专精或流派系统,SubclassSpecializationSystem,02_角色构建层,0.85
重装盾卫,子职业、专精或流派系统,SubclassSpecializationSystem,02_角色构建层,0.85
放逐,背景系统,BackgroundSystem,02_角色构建层,0.85
死亡后归来,背景系统,BackgroundSystem,02_角色构建层,0.85
赐福指引,背景系统,BackgroundSystem,02_角色构建层,0.85
圆桌厅堂,背景系统,BackgroundSystem,02_角色构建层,0.85
过去身份,背景系统,BackgroundSystem,02_角色构建层,0.85
遗物,背景系统,BackgroundSystem,02_角色构建层,0.85
NPC关系,背景系统,BackgroundSystem,02_角色构建层,0.85
卢恩,等级成长系统,LevelGrowthSystem,02_角色构建层,0.85
